gameId,date,player,points,rebounds,assists
0042400135,2025-04-29T22:00:00Z,Giannis Antetokounmpo,30,20,13
0042400135,2025-04-29T22:00:00Z,Brook Lopez,2,0,0
0042400135,2025-04-29T22:00:00Z,Damian Lillard,0,0,0
0042400134,2025-04-28T01:30:00Z,Giannis Antetokounmpo,28,15,6
0042400134,2025-04-28T01:30:00Z,Brook Lopez,6,1,1
0042400134,2025-04-28T01:30:00Z,Damian Lillard,0,2,2
0042400133,2025-04-26T00:00:00Z,Giannis Antetokounmpo,37,12,6
0042400133,2025-04-26T00:00:00Z,Brook Lopez,0,2,2
0042400133,2025-04-26T00:00:00Z,Damian Lillard,7,3,5
0042400132,2025-04-22T23:00:00Z,Giannis Antetokounmpo,34,18,7
0042400132,2025-04-22T23:00:00Z,Brook Lopez,8,1,1
0042400132,2025-04-22T23:00:00Z,Damian Lillard,14,3,7
0042400131,2025-04-19T17:00:00Z,Giannis Antetokounmpo,36,12,1
0042400131,2025-04-19T17:00:00Z,Brook Lopez,9,4,0
0042400131,2025-04-19T17:00:00Z,Damian Lillard,0,0,0
0022401192,2025-04-13T17:00:00Z,Giannis Antetokounmpo,0,0,0
0022401192,2025-04-13T17:00:00Z,Damian Lillard,0,0,0
0022401192,2025-04-13T17:00:00Z,Brook Lopez,0,0,0
0022401171,2025-04-11T23:00:00Z,Giannis Antetokounmpo,32,11,15
0022401171,2025-04-11T23:00:00Z,Brook Lopez,15,7,1
0022401171,2025-04-11T23:00:00Z,Damian Lillard,0,0,0
0022401161,2025-04-11T00:00:00Z,Giannis Antetokounmpo,28,11,5
0022401161,2025-04-11T00:00:00Z,Brook Lopez,3,1,1
0022401161,2025-04-11T00:00:00Z,Damian Lillard,0,0,0
0022401152,2025-04-09T00:00:00Z,Giannis Antetokounmpo,23,13,10
0022401152,2025-04-09T00:00:00Z,Brook Lopez,10,2,1
0022401152,2025-04-09T00:00:00Z,Damian Lillard,0,0,0
0022400617,2025-04-07T00:30:00Z,Brook Lopez,20,12,3
0022400617,2025-04-07T00:30:00Z,Giannis Antetokounmpo,0,0,0
0022400617,2025-04-07T00:30:00Z,Damian Lillard,0,0,0
